face_length,forehead_width,cheek_width,jaw_width,face_ratio,jaw_to_forehead,cheek_to_forehead,left_angle,right_angle,label
201.04261984104235,136.68141448595225,156.33076776714336,133.43452681132368,1.2860080118105597,0.9762448487467016,1.1437602424227957,327.7867352639023,-39.817156297183246,O
216.24235327416588,146.8275384871454,167.64588797154383,144.11989071122943,1.2898756771825552,0.9815589922448164,1.1417877715509142,327.9905748203407,-39.37198273665182,O
215.529855789634,145.41632774894072,166.28384489075793,142.52039733552667,1.2961563159140854,0.9800852458713314,1.1435018850004568,328.48308193014765,-39.845310730569395,O
214.1667883158879,144.65933531466632,165.09968045446723,141.28571849551622,1.297196867530903,0.9766788862135186,1.1412998690705898,328.5148054872191,-39.56515941584318,O
212.9443231342756,143.1776894703931,163.8069625978428,140.62971344454994,1.2999711352750514,0.9822040987302701,1.1440816177698938,328.2152858943702,-39.17521510120243,O
309.37886965855483,217.93886754834708,248.60944760118906,215.00402325161218,1.24443729972342,0.9865336351897679,1.1407301983251708,322.50704054814014,-35.52112421545701,O
311.80803999348836,220.68018550819207,251.15706575318544,216.7176813931441,1.2414862351509761,0.9820441327529115,1.13810428958454,322.73995018318925,-35.59241026776365,O
313.335899437585,221.19324231075942,252.00537406593452,217.52530540912826,1.243369910657556,0.9834175001762577,1.1392996071366703,322.3995338733976,-35.30203809269688,O
312.2741710338867,220.8799828819737,251.86178496987264,217.20331330082763,1.2398632490881478,0.9833544464592309,1.1402653227497486,322.77266296122053,-35.89232594804965,O
246.86607179750004,179.04207666254592,197.13590490606734,162.20210780664578,1.2522633657989826,0.9059440709703134,1.1010590838801775,329.88741889347233,-36.67914876655061,O
246.01265057859015,178.85696928531186,197.5898117302633,162.5174987642165,1.2450674881680162,0.9086450442139008,1.1047364411898812,329.66471098764384,-37.24175067763039,O
244.7192911703421,178.88468675297085,196.8916359980415,161.60655810806617,1.242913595236602,0.9034119188258705,1.100662329302324,329.40672839703126,-36.619812659230824,O
223.53494577182423,160.80504934024944,176.5067090934112,146.18051286237167,1.2664388051874258,0.9090542458841978,1.0976440716108262,326.80222459763564,-33.33558357792369,O
247.55657566981716,171.9617404761019,190.21695064677803,158.15257325802978,1.3014432984446036,0.9196962813946906,1.1061585566657666,326.53921759549314,-32.49936875019015,O
246.26991188787676,172.26970784506722,191.43394159693634,159.24372168317237,1.2864485254469524,0.9243860901325153,1.111245523032434,326.02031509435704,-33.47089074915245,O
241.6020233905706,169.64005134724766,187.4422869461766,155.57263544805704,1.2889408645549965,0.9170749136924329,1.1049412297246264,326.3025086572352,-32.775986699597574,O
243.23962868135757,170.83131246826542,188.0817676081275,155.24459967831197,1.2932653269622214,0.9087596262959758,1.10097946852142,326.968795650506,-32.70191829691247,O
273.7231694659852,190.07151594847346,210.37783983924166,171.48814604245368,1.3011026716271463,0.9022295907238539,1.1068351761674435,329.37814006335134,-34.857100683721974,O
274.46002092819157,190.5611843931027,210.75201431172346,171.01082566020523,1.302288957116384,0.8974063957717241,1.1059545782260134,330.0492776573237,-35.212350454853606,O
276.20914475147174,192.5278671004544,212.5365701483985,172.57644328005202,1.2995840883223786,0.8963712416239857,1.103926269735821,330.04097260441193,-35.186397429786076,O
277.27337059367625,193.14049613791656,213.39656606527797,173.57326516711368,1.2993337976622286,0.8986891337545782,1.104877383730531,329.7231030740181,-34.92039072111066,O
272.0213985221308,196.44960785106667,212.03934340300393,176.83051768957654,1.2828817244784825,0.900131690889585,1.0793574277010327,327.54742251296085,-30.93915873324869,O
272.2738988797568,197.23693575392542,212.41967562837144,176.68007612647838,1.2817734424757359,0.8957758112147212,1.0769771636149739,328.036126980312,-31.128361830149153,O
271.5111378770292,195.78640046383737,210.9440399122481,175.73020042216686,1.2871240068692,0.8975608111995758,1.077419266162005,328.2296541238416,-31.115300903523554,O
272.9461684873892,199.40780126254444,213.98117582575216,177.72376869098238,1.2755615882289244,0.891257852329396,1.0730832719228478,328.21660302532894,-31.090110712475546,O
273.4425423337845,200.91164007570256,216.63245701765044,179.9640210586354,1.262241799304826,0.8957371558503321,1.0782474173025731,327.0208979016103,-31.052117653538215,O
268.41316719117043,186.14801645513646,201.56309013501152,170.9041142943617,1.331658325993024,0.9181087048303376,1.0828108403915775,325.2993111541554,-26.723576223940576,O
267.9828388531856,179.506222024176,196.31702040155656,165.21379116809413,1.3650514779871874,0.9203791896742334,1.0936502266485029,326.2181440159132,-27.63699492339615,O
268.4825173702406,180.8329145082653,196.18399425006936,164.9347726263886,1.3685240653629198,0.9120838044052536,1.0848909601636842,325.93662724511586,-26.07308892442162,O
270.5085629873933,183.64432132185613,198.80301774510892,167.72766591982884,1.3606864023272531,0.91332889964982,1.0825437798138369,325.7721356952076,-25.94826044800907,O
216.81989419128396,148.37245382758772,161.9793054032362,140.20963490383727,1.338565402855173,0.9449842695650512,1.0917073973276734,325.6568332293858,-28.285996608699545,O
218.50766516168912,150.7807092707828,165.2594013312134,142.21494901795643,1.322210194406764,0.943190609102101,1.0960248305665463,325.6366036650184,-29.836195608252158,O
217.7780133054555,150.64862965489147,164.75953974727938,142.3556687808151,1.3217930423907462,0.9449516341896105,1.0936676963123624,324.8724110954788,-28.67339943991247,O
217.9247314372903,151.04924906436892,164.87336275857888,142.18418893374843,1.3217704048190828,0.9413101343731759,1.0915205721302121,325.27298942774684,-28.72640907057289,O
217.81771135386714,150.70078468364676,164.4144620755337,142.02958915009134,1.3248087096729937,0.9424608468246657,1.0909993761523862,325.46676325953445,-28.761949405561943,O
