haircut_name,face_shape,gender,hair_ratio,vertical_extent,hair_width,coverage_top,texture_estimate
Buzz Cut,H,Male,0.442924656,0.145833333,271,29.64973958,6.348320635
Buzz Cut,H,Male,0.443989964,0.14375,270,29.12369792,6.531170186
Buzz Cut,H,Male,0.439546404,0.135416667,272,29.06770833,6.190920845
Buzz Cut,H,Male,0.551046797,0.252083333,279,28.94270833,5.239090909
Buzz Cut,H,Male,0.531808163,0.235416667,279,28.97135417,5.099071207
Buzz Cut,H,Male,0.542521598,0.235416667,280,29.01822917,5.972840925
Buzz Cut,H,Male,0.537659023,0.229166667,279,29.72526042,5.680579124
Buzz Cut,H,Male,0.547493241,0.254166667,277,28.99609375,4.941163369
Buzz Cut,H,Male,0.535657344,0.235416667,280,29.19140625,5.446460461
Buzz Cut,D,Male,0.262280453,0.00625,253,15.46875,9.28499433
Buzz Cut,D,Male,0.2642889,0.025,252,14.66796875,9.339782119
Buzz Cut,D,Male,0.259894482,0.014583333,252,14.2109375,9.091459915
Buzz Cut,D,Male,0.234400062,-0.0125,249,14.37369792,9.097118809
Buzz Cut,D,Male,0.263655704,0.016666667,250,14.25130208,9.506543249
Buzz Cut,D,Male,0.335056022,0.095833333,251,13.98828125,9.733073333
Buzz Cut,D,Male,0.324397758,0.085416667,254,14.02604167,10.38965496
Buzz Cut,D,Male,0.258995664,0.016666667,252,13.96875,9.259731159
Buzz Cut,D,Male,0.370121865,0.127083333,251,14.06119792,9.764735327
Buzz Cut,D,Male,0.386756462,0.139583333,243,14.42447917,9.170666155
Buzz Cut,S,Male,0.325084635,0.139583333,253,12.05208333,9.184220425
Buzz Cut,S,Male,0.329980909,0.141666667,254,11.734375,8.204911092
Buzz Cut,S,Male,0.239232184,0.045833333,238,11.68229167,7.571143995
Buzz Cut,S,Male,0.255842026,0.066666667,236,11.50390625,8.325559701
Buzz Cut,S,Male,0.238558716,0.04375,236,11.50390625,8.214082098
Buzz Cut,S,Male,0.259737479,0.066666667,236,11.40234375,9.437347361
Buzz Cut,S,Male,0.240638715,0.045833333,233,11.38151042,9.008284136
Buzz Cut,S,Male,0.259119358,0.0625,236,11.39713542,9.739749111
Buzz Cut,S,Male,0.315684879,0.11875,248,10.87239583,8.85088856
Buzz Cut,S,Male,0.241997278,0.041666667,235,10.91276042,8.962667427
Buzz Cut,H,Male,0.360828361,0.1875,203,7.498697917,12.0260989
Buzz Cut,H,Male,0.459823731,0.164583333,204,7.00390625,12.39976622
Buzz Cut,H,Male,0.508443051,0.152083333,203,6.772135417,12.58995816
Buzz Cut,H,Male,0.546993298,0.160416667,204,6.869791667,12.71183514
